Index,Character,Pinyin,Sentence
1,"一","yī","一是一。"
2,"七","qī","七是七。"
3,"三","sān","三是三。"
4,"不","bù","我不去。"
5,"专","[PINYIN_专]","这个字是专。"
6,"且","[PINYIN_且]","这个字是且。"
7,"世","[PINYIN_世]","这个字是世。"
8,"业","[PINYIN_业]","这个字是业。"
9,"东","dōng","东方。"
10,"丝","[PINYIN_丝]","这个字是丝。"
11,"两","[PINYIN_两]","这个字是两。"
12,"个","gè","一个人。"
13,"丰","[PINYIN_丰]","这个字是丰。"
14,"临","[PINYIN_临]","这个字是临。"
15,"为","[PINYIN_为]","这个字是为。"
16,"主","[PINYIN_主]","这个字是主。"
17,"丽","[PINYIN_丽]","这个字是丽。"
18,"久","[PINYIN_久]","这个字是久。"
19,"么","[PINYIN_么]","这个字是么。"
20,"之","[PINYIN_之]","这个字是之。"
21,"乐","[PINYIN_乐]","这个字是乐。"
22,"九","jiǔ","九是九。"
23,"也","yě","我也去。"
24,"习","[PINYIN_习]","这个字是习。"
25,"乡","[PINYIN_乡]","这个字是乡。"
26,"买","mǎi","我买东西。"
27,"争","[PINYIN_争]","这个字是争。"
28,"事","[PINYIN_事]","这个字是事。"
29,"二","èr","二是二。"
30,"于","[PINYIN_于]","这个字是于。"
31,"互","[PINYIN_互]","这个字是互。"
32,"五","wǔ","五是五。"
33,"些","xiē","这些是书。"
34,"交","[PINYIN_交]","这个字是交。"
35,"产","[PINYIN_产]","这个字是产。"
36,"京","[PINYIN_京]","这个字是京。"
37,"亮","[PINYIN_亮]","这个字是亮。"
38,"亲","[PINYIN_亲]","这个字是亲。"
39,"人","rén","我是人。"
40,"什","[PINYIN_什]","这个字是什。"
41,"仅","[PINYIN_仅]","这个字是仅。"
42,"今","[PINYIN_今]","这个字是今。"
43,"介","[PINYIN_介]","这个字是介。"
44,"从","[PINYIN_从]","这个字是从。"
45,"仔","[PINYIN_仔]","这个字是仔。"
46,"他","tā","他是老师。"
47,"仙","[PINYIN_仙]","这个字是仙。"
48,"代","[PINYIN_代]","这个字是代。"
49,"以","[PINYIN_以]","这个字是以。"
50,"们","men","我们很好。"
51,"件","[PINYIN_件]","这个字是件。"
52,"价","[PINYIN_价]","这个字是价。"
53,"任","[PINYIN_任]","这个字是任。"
54,"份","[PINYIN_份]","这个字是份。"
55,"企","[PINYIN_企]","这个字是企。"
56,"休","[PINYIN_休]","这个字是休。"
57,"优","[PINYIN_优]","这个字是优。"
58,"伙","[PINYIN_伙]","这个字是伙。"
59,"会","huì","我会说中文。"
60,"伟","[PINYIN_伟]","这个字是伟。"
61,"传","[PINYIN_传]","这个字是传。"
62,"似","[PINYIN_似]","这个字是似。"
63,"但","[PINYIN_但]","这个字是但。"
64,"位","[PINYIN_位]","这个字是位。"
65,"住","zhù","我住这里。"
66,"体","[PINYIN_体]","这个字是体。"
67,"何","[PINYIN_何]","这个字是何。"
68,"作","[PINYIN_作]","这个字是作。"
69,"你","nǐ","你好吗？"
70,"使","[PINYIN_使]","这个字是使。"
71,"供","[PINYIN_供]","这个字是供。"
72,"便","[PINYIN_便]","这个字是便。"
73,"俑","[PINYIN_俑]","这个字是俑。"
74,"俗","[PINYIN_俗]","这个字是俗。"
75,"保","[PINYIN_保]","这个字是保。"
76,"信","[PINYIN_信]","这个字是信。"
77,"候","[PINYIN_候]","这个字是候。"
78,"假","jiǎ","假的。"
79,"健","[PINYIN_健]","这个字是健。"
80,"傅","[PINYIN_傅]","这个字是傅。"
81,"傲","[PINYIN_傲]","这个字是傲。"
82,"像","[PINYIN_像]","这个字是像。"
83,"儿","[PINYIN_儿]","这个字是儿。"
84,"元","[PINYIN_元]","这个字是元。"
85,"兑","[PINYIN_兑]","这个字是兑。"
86,"全","[PINYIN_全]","这个字是全。"
87,"八","[PINYIN_八]","这个字是八。"
88,"公","[PINYIN_公]","这个字是公。"
89,"关","[PINYIN_关]","这个字是关。"
90,"兴","[PINYIN_兴]","这个字是兴。"
91,"兵","[PINYIN_兵]","这个字是兵。"
92,"其","[PINYIN_其]","这个字是其。"
93,"典","[PINYIN_典]","这个字是典。"
94,"再","[PINYIN_再]","这个字是再。"
95,"冒","[PINYIN_冒]","这个字是冒。"
96,"写","[PINYIN_写]","这个字是写。"
97,"农","[PINYIN_农]","这个字是农。"
98,"冬","[PINYIN_冬]","这个字是冬。"
99,"冰","[PINYIN_冰]","这个字是冰。"
100,"决","[PINYIN_决]","这个字是决。"
101,"况","[PINYIN_况]","这个字是况。"
102,"准","[PINYIN_准]","这个字是准。"
103,"几","[PINYIN_几]","这个字是几。"
104,"出","chū","我出去。"
105,"划","[PINYIN_划]","这个字是划。"
106,"列","[PINYIN_列]","这个字是列。"
107,"则","[PINYIN_则]","这个字是则。"
108,"刚","[PINYIN_刚]","这个字是刚。"
109,"利","[PINYIN_利]","这个字是利。"
110,"别","[PINYIN_别]","这个字是别。"
111,"到","dào","我到了。"
112,"前","qián","前面。"
113,"剧","[PINYIN_剧]","这个字是剧。"
114,"力","[PINYIN_力]","这个字是力。"
115,"功","[PINYIN_功]","这个字是功。"
116,"务","[PINYIN_务]","这个字是务。"
117,"助","[PINYIN_助]","这个字是助。"
118,"努","[PINYIN_努]","这个字是努。"
119,"劳","[PINYIN_劳]","这个字是劳。"
120,"包","[PINYIN_包]","这个字是包。"
121,"化","[PINYIN_化]","这个字是化。"
122,"北","běi","北方。"
123,"匙","[PINYIN_匙]","这个字是匙。"
124,"医","[PINYIN_医]","这个字是医。"
125,"十","shí","十是十。"
126,"午","[PINYIN_午]","这个字是午。"
127,"半","[PINYIN_半]","这个字是半。"
128,"协","[PINYIN_协]","这个字是协。"
129,"南","nán","南方。"
130,"博","[PINYIN_博]","这个字是博。"
131,"卡","[PINYIN_卡]","这个字是卡。"
132,"卦","[PINYIN_卦]","这个字是卦。"
133,"卧","[PINYIN_卧]","这个字是卧。"
134,"卫","[PINYIN_卫]","这个字是卫。"
135,"印","[PINYIN_印]","这个字是印。"
136,"危","[PINYIN_危]","这个字是危。"
137,"即","[PINYIN_即]","这个字是即。"
138,"卷","[PINYIN_卷]","这个字是卷。"
139,"厂","[PINYIN_厂]","这个字是厂。"
