Character,Pinyin,Sentence
一,yī,一是一。
七,qī,七是七。
三,sān,三是三。
不,bù,我不去。
专,[PINYIN_专],这个字是专。
且,[PINYIN_且],这个字是且。
世,[PINYIN_世],这个字是世。
业,[PINYIN_业],这个字是业。
东,dōng,东方。
丝,[PINYIN_丝],这个字是丝。
两,[PINYIN_两],这个字是两。
个,gè,一个人。
丰,[PINYIN_丰],这个字是丰。
临,[PINYIN_临],这个字是临。
为,[PINYIN_为],这个字是为。
主,[PINYIN_主],这个字是主。
丽,[PINYIN_丽],这个字是丽。
久,[PINYIN_久],这个字是久。
么,[PINYIN_么],这个字是么。
之,[PINYIN_之],这个字是之。
乐,[PINYIN_乐],这个字是乐。
九,jiǔ,九是九。
也,yě,我也去。
习,[PINYIN_习],这个字是习。
乡,[PINYIN_乡],这个字是乡。
买,mǎi,我买东西。
争,[PINYIN_争],这个字是争。
事,[PINYIN_事],这个字是事。
二,èr,二是二。
于,[PINYIN_于],这个字是于。
互,[PINYIN_互],这个字是互。
五,wǔ,五是五。
些,xiē,这些是书。
交,[PINYIN_交],这个字是交。
产,[PINYIN_产],这个字是产。
京,[PINYIN_京],这个字是京。
亮,[PINYIN_亮],这个字是亮。
亲,[PINYIN_亲],这个字是亲。
人,rén,我是人。
什,[PINYIN_什],这个字是什。
仅,[PINYIN_仅],这个字是仅。
今,[PINYIN_今],这个字是今。
介,[PINYIN_介],这个字是介。
从,[PINYIN_从],这个字是从。
仔,[PINYIN_仔],这个字是仔。
他,tā,他是老师。
仙,[PINYIN_仙],这个字是仙。
代,[PINYIN_代],这个字是代。
以,[PINYIN_以],这个字是以。
们,men,我们很好。
件,[PINYIN_件],这个字是件。
价,[PINYIN_价],这个字是价。
任,[PINYIN_任],这个字是任。
份,[PINYIN_份],这个字是份。
企,[PINYIN_企],这个字是企。
休,[PINYIN_休],这个字是休。
优,[PINYIN_优],这个字是优。
伙,[PINYIN_伙],这个字是伙。
会,huì,我会说中文。
伟,[PINYIN_伟],这个字是伟。
传,[PINYIN_传],这个字是传。
似,[PINYIN_似],这个字是似。
但,[PINYIN_但],这个字是但。
位,[PINYIN_位],这个字是位。
住,zhù,我住这里。
体,[PINYIN_体],这个字是体。
何,[PINYIN_何],这个字是何。
作,[PINYIN_作],这个字是作。
你,nǐ,你好吗？
使,[PINYIN_使],这个字是使。
供,[PINYIN_供],这个字是供。
便,[PINYIN_便],这个字是便。
俑,[PINYIN_俑],这个字是俑。
俗,[PINYIN_俗],这个字是俗。
保,[PINYIN_保],这个字是保。
