Character,Pinyin,Sentence,SentencePinyin
一,yī,"一是一。","yi shi yi 。"
七,qī,"七是七。","qi shi qi 。"
三,sān,"三是三。","san shi san 。"
不,bù,"我不去。","wo bu qu 。"
专,zhuan,"这个字是专。","zhe ge zi shi zhuan 。"
且,qie,"这个字是且。","zhe ge zi shi qie 。"
世,shi,"这个字是世。","zhe ge zi shi shi 。"
业,ye,"这个字是业。","zhe ge zi shi ye 。"
东,dōng,"东方。","dong fang 。"
丝,si,"这个字是丝。","zhe ge zi shi si 。"
两,liang,"这个字是两。","zhe ge zi shi liang 。"
个,gè,"一个人。","yi ge ren 。"
丰,feng,"这个字是丰。","zhe ge zi shi feng 。"
临,lin,"这个字是临。","zhe ge zi shi lin 。"
为,wei,"这个字是为。","zhe ge zi shi wei 。"
主,zhu,"这个字是主。","zhe ge zi shi zhu 。"
丽,li,"这个字是丽。","zhe ge zi shi li 。"
久,jiu,"这个字是久。","zhe ge zi shi jiu 。"
么,me,"这个字是么。","zhe ge zi shi me 。"
之,zhi,"这个字是之。","zhe ge zi shi zhi 。"
乐,le,"这个字是乐。","zhe ge zi shi le 。"
九,jiǔ,"九是九。","jiu shi jiu 。"
也,yě,"我也去。","wo ye qu 。"
习,xi,"这个字是习。","zhe ge zi shi xi 。"
乡,xiang,"这个字是乡。","zhe ge zi shi xiang 。"
买,mǎi,"我买东西。","wo mai dong xi 。"
争,zheng,"这个字是争。","zhe ge zi shi zheng 。"
事,shi,"这个字是事。","zhe ge zi shi shi 。"
二,èr,"二是二。","er shi er 。"
于,yu,"这个字是于。","zhe ge zi shi yu 。"
互,hu,"这个字是互。","zhe ge zi shi hu 。"
五,wǔ,"五是五。","wu shi wu 。"
些,xiē,"这些是书。","zhe xie shi shu 。"
交,jiao,"这个字是交。","zhe ge zi shi jiao 。"
产,chan,"这个字是产。","zhe ge zi shi chan 。"
京,jing,"这个字是京。","zhe ge zi shi jing 。"
亮,liang,"这个字是亮。","zhe ge zi shi liang 。"
亲,qin,"这个字是亲。","zhe ge zi shi qin 。"
人,rén,"我是人。","wo shi ren 。"
什,shen,"这个字是什。","zhe ge zi shi shen 。"
仅,jin,"这个字是仅。","zhe ge zi shi jin 。"
今,jin,"这个字是今。","zhe ge zi shi jin 。"
介,jie,"这个字是介。","zhe ge zi shi jie 。"
从,cong,"这个字是从。","zhe ge zi shi cong 。"
仔,zai,"这个字是仔。","zhe ge zi shi zai 。"
他,tā,"他是老师。","ta shi lao shi 。"
仙,xian,"这个字是仙。","zhe ge zi shi xian 。"
代,dai,"这个字是代。","zhe ge zi shi dai 。"
以,yi,"这个字是以。","zhe ge zi shi yi 。"
们,men,"我们很好。","wo men hen hao 。"
件,jian,"这个字是件。","zhe ge zi shi jian 。"
价,jia,"这个字是价。","zhe ge zi shi jia 。"
任,ren,"这个字是任。","zhe ge zi shi ren 。"
份,fen,"这个字是份。","zhe ge zi shi fen 。"
企,qi,"这个字是企。","zhe ge zi shi qi 。"
休,xiu,"这个字是休。","zhe ge zi shi xiu 。"
优,you,"这个字是优。","zhe ge zi shi you 。"
伙,huo,"这个字是伙。","zhe ge zi shi huo 。"
会,huì,"我会说中文。","wo hui shuo zhong wen 。"
伟,wei,"这个字是伟。","zhe ge zi shi wei 。"
传,chuan,"这个字是传。","zhe ge zi shi chuan 。"
似,si,"这个字是似。","zhe ge zi shi si 。"
但,dan,"这个字是但。","zhe ge zi shi dan 。"
位,wei,"这个字是位。","zhe ge zi shi wei 。"
住,zhù,"我住这里。","wo zhu zhe li 。"
体,ti,"这个字是体。","zhe ge zi shi ti 。"
何,he,"这个字是何。","zhe ge zi shi he 。"
作,zuo,"这个字是作。","zhe ge zi shi zuo 。"
你,nǐ,"你好吗？","ni hao ma ？"
使,shi,"这个字是使。","zhe ge zi shi shi 。"
供,gong,"这个字是供。","zhe ge zi shi gong 。"
便,bian,"这个字是便。","zhe ge zi shi bian 。"
俑,yong,"这个字是俑。","zhe ge zi shi yong 。"
俗,su,"这个字是俗。","zhe ge zi shi su 。"
保,bao,"这个字是保。","zhe ge zi shi bao 。"
信,xin,"这个字是信。","zhe ge zi shi xin 。"
候,hou,"这个字是候。","zhe ge zi shi hou 。"
假,jiǎ,"假的。","jia de 。"
健,jian,"这个字是健。","zhe ge zi shi jian 。"
傅,fu,"这个字是傅。","zhe ge zi shi fu 。"
傲,ao,"这个字是傲。","zhe ge zi shi ao 。"
像,xiang,"这个字是像。","zhe ge zi shi xiang 。"
儿,er,"这个字是儿。","zhe ge zi shi er 。"
元,yuan,"这个字是元。","zhe ge zi shi yuan 。"
兑,dui,"这个字是兑。","zhe ge zi shi dui 。"
全,quan,"这个字是全。","zhe ge zi shi quan 。"
八,ba,"这个字是八。","zhe ge zi shi ba 。"
公,gong,"这个字是公。","zhe ge zi shi gong 。"
关,guan,"这个字是关。","zhe ge zi shi guan 。"
兴,xing,"这个字是兴。","zhe ge zi shi xing 。"
兵,bing,"这个字是兵。","zhe ge zi shi bing 。"
其,qi,"这个字是其。","zhe ge zi shi qi 。"
典,dian,"这个字是典。","zhe ge zi shi dian 。"
再,zai,"这个字是再。","zhe ge zi shi zai 。"
冒,mao,"这个字是冒。","zhe ge zi shi mao 。"
写,xie,"这个字是写。","zhe ge zi shi xie 。"
农,nong,"这个字是农。","zhe ge zi shi nong 。"
冬,dong,"这个字是冬。","zhe ge zi shi dong 。"
冰,bing,"这个字是冰。","zhe ge zi shi bing 。"
决,jue,"这个字是决。","zhe ge zi shi jue 。"
况,kuang,"这个字是况。","zhe ge zi shi kuang 。"
准,zhun,"这个字是准。","zhe ge zi shi zhun 。"
几,ji,"这个字是几。","zhe ge zi shi ji 。"
出,chū,"我出去。","wo chu qu 。"
划,hua,"这个字是划。","zhe ge zi shi hua 。"
列,lie,"这个字是列。","zhe ge zi shi lie 。"
则,ze,"这个字是则。","zhe ge zi shi ze 。"
刚,gang,"这个字是刚。","zhe ge zi shi gang 。"
利,li,"这个字是利。","zhe ge zi shi li 。"
别,bie,"这个字是别。","zhe ge zi shi bie 。"
到,dào,"我到了。","wo dao le 。"
前,qián,"前面。","qian mian 。"
剧,ju,"这个字是剧。","zhe ge zi shi ju 。"
力,li,"这个字是力。","zhe ge zi shi li 。"
功,gong,"这个字是功。","zhe ge zi shi gong 。"
务,wu,"这个字是务。","zhe ge zi shi wu 。"
助,zhu,"这个字是助。","zhe ge zi shi zhu 。"
努,nu,"这个字是努。","zhe ge zi shi nu 。"
劳,lao,"这个字是劳。","zhe ge zi shi lao 。"
包,bao,"这个字是包。","zhe ge zi shi bao 。"
化,hua,"这个字是化。","zhe ge zi shi hua 。"
北,běi,"北方。","bei fang 。"
匙,chi,"这个字是匙。","zhe ge zi shi chi 。"
医,yi,"这个字是医。","zhe ge zi shi yi 。"
十,shí,"十是十。","shi shi shi 。"
午,wu,"这个字是午。","zhe ge zi shi wu 。"
半,ban,"这个字是半。","zhe ge zi shi ban 。"
协,xie,"这个字是协。","zhe ge zi shi xie 。"
南,nán,"南方。","nan fang 。"
博,bo,"这个字是博。","zhe ge zi shi bo 。"
卡,ka,"这个字是卡。","zhe ge zi shi ka 。"
卦,gua,"这个字是卦。","zhe ge zi shi gua 。"
卧,wo,"这个字是卧。","zhe ge zi shi wo 。"
卫,wei,"这个字是卫。","zhe ge zi shi wei 。"
印,yin,"这个字是印。","zhe ge zi shi yin 。"
危,wei,"这个字是危。","zhe ge zi shi wei 。"
即,ji,"这个字是即。","zhe ge zi shi ji 。"
卷,juan,"这个字是卷。","zhe ge zi shi juan 。"
厂,chang,"这个字是厂。","zhe ge zi shi chang 。"
历,li,"这个字是历。","zhe ge zi shi li 。"
原,yuan,"这个字是原。","zhe ge zi shi yuan 。"
去,qù,"我去学校。","wo qu xue xiao 。"
