Index,Character,Pinyin,Needs_Lookup
1,"一","[PINYIN_FOR_一]",true
2,"七","[PINYIN_FOR_七]",true
3,"三","[PINYIN_FOR_三]",true
4,"不","[PINYIN_FOR_不]",true
5,"专","[PINYIN_FOR_专]",true
6,"且","[PINYIN_FOR_且]",true
7,"世","[PINYIN_FOR_世]",true
8,"业","[PINYIN_FOR_业]",true
9,"东","[PINYIN_FOR_东]",true
10,"丝","[PINYIN_FOR_丝]",true
11,"两","[PINYIN_FOR_两]",true
12,"个","[PINYIN_FOR_个]",true
13,"丰","[PINYIN_FOR_丰]",true
14,"临","[PINYIN_FOR_临]",true
15,"为","[PINYIN_FOR_为]",true
16,"主","[PINYIN_FOR_主]",true
17,"丽","[PINYIN_FOR_丽]",true
18,"久","[PINYIN_FOR_久]",true
19,"么","[PINYIN_FOR_么]",true
20,"之","[PINYIN_FOR_之]",true
21,"乐","[PINYIN_FOR_乐]",true
22,"九","[PINYIN_FOR_九]",true
23,"也","[PINYIN_FOR_也]",true
24,"习","[PINYIN_FOR_习]",true
25,"乡","[PINYIN_FOR_乡]",true
26,"买","[PINYIN_FOR_买]",true
27,"争","[PINYIN_FOR_争]",true
28,"事","[PINYIN_FOR_事]",true
29,"二","[PINYIN_FOR_二]",true
30,"于","[PINYIN_FOR_于]",true
31,"互","[PINYIN_FOR_互]",true
32,"五","[PINYIN_FOR_五]",true
33,"些","[PINYIN_FOR_些]",true
34,"交","[PINYIN_FOR_交]",true
35,"产","[PINYIN_FOR_产]",true
36,"京","[PINYIN_FOR_京]",true
37,"亮","[PINYIN_FOR_亮]",true
38,"亲","[PINYIN_FOR_亲]",true
39,"人","[PINYIN_FOR_人]",true
40,"什","[PINYIN_FOR_什]",true
41,"仅","[PINYIN_FOR_仅]",true
42,"今","[PINYIN_FOR_今]",true
43,"介","[PINYIN_FOR_介]",true
44,"从","[PINYIN_FOR_从]",true
45,"仔","[PINYIN_FOR_仔]",true
46,"他","[PINYIN_FOR_他]",true
47,"仙","[PINYIN_FOR_仙]",true
48,"代","[PINYIN_FOR_代]",true
49,"以","[PINYIN_FOR_以]",true
50,"们","[PINYIN_FOR_们]",true
