Character,Pinyin
一,yī
七,qī
三,sān
不,bù
专,zhuān
且,qiě
世,shì
业,yè
东,dōng
丝,sī
两,liǎng
个,gè
丰,fēng
临,lín
为,wéi/wèi
主,zhǔ
丽,lì
久,jiǔ
么,me
之,zhī
乐,lè/yuè
九,jiǔ
也,yě
习,xí
乡,xiāng
买,mǎi
争,zhēng
事,shì
二,èr
于,yú
互,hù
五,wǔ
些,xiē
交,jiāo
产,chǎn
京,jīng
亮,liàng
亲,qīn
人,rén
什,shí
仅,jǐn
今,jīn
介,jiè
从,cóng
仔,zǎi
他,tā
仙,xiān
代,dài
以,yǐ
们,men
件,jiàn
价,jià
任,rèn
份,fèn
企,qǐ
休,xiū
优,yōu
伙,huǒ
会,huì
伟,wěi
传,chuán
似,sì
但,dàn
位,wèi
住,zhù
体,tǐ
何,hé
作,zuò
你,nǐ
使,shǐ
供,gōng
便,biàn
俑,yǒng
俗,sú
保,bǎo
信,xìn
候,hòu
假,jiǎ
健,jiàn
傅,fù
傲,ào
像,xiàng
儿,ér
元,yuán
兑,duì
全,quán
八,bā
公,gōng
关,guān
兴,xīng
兵,bīng
其,qí
典,diǎn
再,zài
冒,mào
写,xiě
农,nóng
冬,dōng
冰,bīng
决,jué
况,kuàng
准,zhǔn
几,jǐ
出,chū
划,huá
列,liè
则,zé
刚,gāng
利,lì
别,bié
到,dào
前,qián
剧,jù
力,lì
功,gōng
务,wù
助,zhù
努,nǔ
劳,láo
包,bāo
化,huà
北,běi
匙,chí
医,yī
十,shí
午,wǔ
半,bàn
协,xié
南,nán
博,bó
卡,kǎ
卦,guà
卧,wò
卫,wèi
印,yìn
危,wēi
即,jí
卷,juǎn
厂,chǎng
历,lì
原,yuán
去,qù
参,cān
及,jí
友,yǒu
反,fǎn
发,fā
叔,shū
口,kǒu
古,gǔ
另,lìng
史,shǐ
右,yòu
叶,yè
号,hào
司,sī
吃,chī
各,gè
合,hé
吉,jí
同,tóng
名,míng
后,hòu
吗,ma
吧,ba
听,tīng
吸,xī
呀,ya
告,gào
员,yuán
呢,ne
命,mìng
和,hé
咖,kā
咱,zán
品,pǐn
哈,hā
响,xiǎng
哎,āi
哥,gē
哪,nǎ
哲,zhé
唱,chàng
商,shāng
啡,fēi
喘,chuǎn
嗽,sòu
嘴,zuǐ
器,qì
四,sì
回,huí
因,yīn
团,tuán
园,yuán
困,kùn
国,guó
图,tú
圈,quān
土,tǔ
在,zài
场,chǎng
圾,jī
址,zhǐ
